file_id,record_index,char_len,line_count,has_numbered_sections,num_sections,num_lines,detected_main_sections,notes
61.txt,61,1215,25,True,9,25,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
62.txt,62,334,13,True,6,13,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
63.txt,63,1676,37,True,15,37,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
64.txt,64,1747,40,True,12,40,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
65.txt,65,646,23,True,10,23,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
66.txt,66,1416,36,True,10,36,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
67.txt,67,503,12,True,8,12,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
68.txt,68,297,11,True,7,11,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
69.txt,69,983,31,True,11,31,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
70.txt,70,2360,60,True,16,60,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
71.txt,71,1009,40,True,11,40,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
72.txt,72,1497,33,True,10,33,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
73.txt,73,1707,33,True,12,33,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
74.txt,74,1805,34,True,14,34,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
75.txt,75,1828,34,True,8,34,CURRENT_HISTORY|PAST_HISTORY,
76.txt,76,1255,33,True,7,33,CURRENT_HISTORY|PAST_HISTORY,
77.txt,77,1232,25,True,5,25,CURRENT_HISTORY|PAST_HISTORY,
78.txt,78,589,19,True,5,19,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
79.txt,79,344,8,True,6,8,CURRENT_HISTORY|PAST_HISTORY,
80.txt,80,581,10,True,5,10,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
81.txt,81,462,10,True,6,10,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
82.txt,82,1251,25,True,6,25,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
83.txt,83,414,12,True,4,12,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
84.txt,84,1415,35,True,6,35,CURRENT_HISTORY|PAST_HISTORY,
85.txt,85,611,17,True,5,17,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
86.txt,86,859,18,True,6,18,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
87.txt,87,1177,19,True,4,19,CURRENT_HISTORY|PAST_HISTORY,
88.txt,88,964,19,True,5,19,CURRENT_HISTORY|PAST_HISTORY,
89.txt,89,1438,19,True,6,19,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
90.txt,90,235,8,True,4,8,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
91.txt,91,1163,30,True,7,30,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
92.txt,92,612,12,True,6,12,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
93.txt,93,373,11,True,5,11,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
94.txt,94,887,24,True,5,24,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
95.txt,95,673,19,True,5,19,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
96.txt,96,1639,41,True,6,41,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
97.txt,97,1255,33,True,12,33,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
98.txt,98,499,13,True,9,13,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
99.txt,99,341,12,True,7,12,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
100.txt,100,1513,31,True,7,31,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
